NSGA-II,MOACO
36.1123,93.2744
26.2535,134.088
26.5525,92.9839
23.3137,80.3978
20.4892,74.1693
28.256,122.487
32.79,100.165
30.4106,122.42
23.902,141.572
35.7263,82.3127
20.8544,101.755
27.3651,163.807
22.543,122.749
23.6688,139.198
22.7925,88.4043
29.5428,111.778
24.7396,116.471
26.4867,137.657
31.292,85.9939
28.0278,116.956
24.1554,114.803
19.6822,100.621
27.2323,148.329
23.2105,138.568
30.7092,101.638
32.2356,106.676
24.3263,174.029
24.4566,126.336
23.9647,75.7129
20.292,103.528
