NSGA-II,MOACO
24.0502,50.2957
17.7212,54.6329
15.3237,54.362
18.6096,53.7232
15.3262,63.8129
16.9875,58.038
16.8666,53.7725
17.8088,60.5198
18.3105,47.9217
24.4335,50.7414
16.0569,51.6942
18.4092,65.4663
15.1679,53.8197
25.1344,67.4365
21.8258,57.3922
24.0521,57.8489
19.36,53.7482
21.0887,55.9164
10.8315,60.2611
21.0094,62.8351
24.157,73.9122
26.3128,60.0469
18.8518,58.2468
15.8191,64.6231
17.9195,63.9527
30.7338,63.5467
29.2513,56.1922
21.6393,54.8233
16.0376,56.0843
17.7367,50.4173
