NSGA-II,MOACO,NSGA-II,MOACO
211.36,398.36,0.206004,0.388265
200.56,451.16,0.195478,0.439727
338.16,403.16,0.329591,0.392943
363.16,397.16,0.353957,0.387096
247.36,508.06,0.241092,0.495185
318.66,420.96,0.310585,0.410292
301.86,565.16,0.294211,0.550838
224.36,416.96,0.218674,0.406394
247.86,494.26,0.241579,0.481735
300.86,457.26,0.293236,0.445673
421.56,301.26,0.410877,0.293626
310.66,369.56,0.302788,0.360195
257.36,387.06,0.250838,0.377251
338.16,524.86,0.329591,0.511559
283.26,459.86,0.276082,0.448207
395.86,419.66,0.385828,0.409025
236.86,386.16,0.230858,0.376374
404.66,432.96,0.394405,0.421988
319.06,390.56,0.310975,0.380663
263.16,413.16,0.256491,0.40269
461.16,421.96,0.449474,0.411267
308.66,433.06,0.300838,0.422086
335.26,393.56,0.326764,0.383587
319.86,393.76,0.311754,0.383782
295.06,514.56,0.287583,0.50152
293.26,460.16,0.285828,0.448499
291.86,369.16,0.284464,0.359805
229.76,601.76,0.223938,0.586511
302.06,427.16,0.294405,0.416335
388.96,421.06,0.379103,0.41039
