NSGA-II,MOACO
22.7348,126.682
29.3964,135.612
31.2083,161.456
26.8751,114.219
26.7325,138.691
38.4273,119.019
38.1456,123.025
35.9011,141.134
28.3895,128.654
31.4751,159.337
23.292,132.959
24.192,152.041
31.8163,156.788
33.0194,154.384
28.3744,124.083
26.4108,138.964
13.1557,155.688
20.6702,215.332
34.8001,149.949
22.3039,140.331
26.6585,130.097
33.6642,107.229
38.6878,165.209
45.1381,128.727
27.2442,113.152
21.4698,149.044
20.388,125.862
25.1323,158.405
33.7768,135.895
37.4844,150.918
